accession	agricola_id	altitude	base_count	bio_material	cell_line	cell_type	collected_by	collection_date	country	cultivar	culture_collection	dataclass	description	dev_stage	doi	doi_url	ecotype	environmental_sample	first_public	germline	haplotype	host	identified_by	isolate	isolation_source	keywords	lab_host	last_updated	location	mating_type	metagenome_source	mol_type	organelle	patent_number	plasmid	pubmed_id	pubmed_url	sample_accession	scientific_name	sequence_md5	sequence_version	serotype	serovar	sex	specimen_voucher	strain	study_accession	sub_species	sub_strain	submitted_sex	tax_division	tax_id	tissue_lib	tissue_type	topology	variety
BS000685			29782					2020-04-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner1/2020 RNA, complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner1/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	428888e9cb6446dcfd5f7c427ef2770f	1										VRL	2697049			LINEAR	
BS000686			29782					2020-04-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner2/2020 RNA, complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner2/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	17b9b1e69f52681fd18d745193b9c13b	1										VRL	2697049			LINEAR	
BS000687			29782					2020-04-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner3/2020 RNA, nearly complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner3/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	a915de7953f23c925cf753d6517e7461	1										VRL	2697049			LINEAR	
BS000688			29782					2020-04-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner4/2020 RNA, nearly complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner4/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	66941612a30409757b0b7fa19e21f632	1										VRL	2697049			LINEAR	
BS000689			29782					2020-04-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner6/2020 RNA, complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner6/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	5269492bb335afeb4fdbcd7539e5ea74	1										VRL	2697049			LINEAR	
BS000690			29782					2020-04-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner7/2020 RNA, nearly complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner7/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	38617ffa5604843a07f295cec3ce00db	1										VRL	2697049			LINEAR	
BS000691			29782					2020-04-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner8/2020 RNA, complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner8/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	5269492bb335afeb4fdbcd7539e5ea74	1										VRL	2697049			LINEAR	
BS000692			29639					2020-04-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner9/2020 RNA, nearly complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner9/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	344513e27665c219e11dc46a4350b98e	1										VRL	2697049			LINEAR	
BS000693			29782					2020-04-08	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner11/2020 RNA, nearly complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner11/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	f50d9f2fad7a75f915712dc604604c76	1										VRL	2697049			LINEAR	
BS000694			29782					2020-04-09	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner12/2020 RNA, complete genome.					false	2021-05-27	false		Homo sapiens		hCoV-19/Japan/Donner12/2020	oropharyngeal swab			2021-08-10				genomic RNA							Severe acute respiratory syndrome coronavirus 2	1f45f5091feaafff37bcf6aa01d0c98f	1										VRL	2697049			LINEAR	
BS000695			29611					2020-04-10	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner14/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner14/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	0cb3599f5858182bcfc8365d78b9f77a	1										VRL	2697049			LINEAR	
BS000696			29782					2020-04-10	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner15/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner15/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	6c78454b1cd5eccc020abaf98f157cf1	1										VRL	2697049			LINEAR	
